ds,yhat,yhat_lower,yhat_upper
2022-08-03,23132.015531370154,19087.15076134716,27262.829381199466
2022-08-04,23048.405354548224,18619.58088415847,27340.07824546007
2022-08-05,23097.88193427871,18780.90704418326,26963.559017663556
2022-08-06,23136.67493933312,18897.44571931756,27449.929488416532
2022-08-07,23161.80921677059,18780.300511932935,27481.88813160652
2022-08-08,23180.44264107328,19043.597890247776,27671.249509777477
2022-08-09,23197.348729550293,19054.52567769323,27556.01307853016
2022-08-10,23282.04778483695,18715.487774444267,27502.25061345242
2022-08-11,23140.351219295117,18556.003056403624,27515.459861287738
2022-08-12,23122.67679245931,18781.772631528507,27731.99479056235
2022-08-13,23085.78253262521,18745.20125662129,27418.684442756075
2022-08-14,23027.43337075373,18958.60791622825,27403.58552535726
2022-08-15,22955.726920004392,18604.505975229382,27400.633636248647
2022-08-16,22876.557668266996,18721.72505913108,27336.102964674414
2022-08-17,22860.72382966672,18489.74264777329,27224.89947692822
2022-08-18,22615.442191712762,18313.42877858923,27016.018102042
2022-08-19,22492.629547251083,18296.483841981873,26638.239863743514
2022-08-20,22350.599490066757,18204.68931192327,26986.106488603768
2022-08-21,22188.689728321326,17956.819358885667,26424.461702515284
2022-08-22,22016.547557968664,17821.218774266446,26341.46489813464
2022-08-23,21841.554016703118,17403.92887377637,26226.079023396258
2022-08-24,21735.892221856455,17654.100577974277,25722.325145238585
2022-08-25,21408.026450038444,17232.322423111218,25840.784795928772
2022-08-26,21210.95169281105,16895.341645988836,25318.444861144995
2022-08-27,21003.863498781215,16888.334597603218,25337.391340097598
2022-08-28,20786.764140099618,16496.10656280453,25142.45456068375
2022-08-29,20569.73345177748,16126.626855810877,24751.898083588712
2022-08-30,20360.345368842693,16081.205016275102,24782.472266625806
2022-08-31,20230.735949411734,16104.733233915258,24450.083148503967
2022-09-01,19889.089495101238,15475.265163676502,24142.066102795437
2022-09-02,19687.902321865797,15511.528401272662,23855.805029008294
2022-09-03,19485.6735791472,15274.030161784092,23794.975914616673
2022-09-04,19281.538522524414,14700.245004892256,23774.035059766607
2022-09-05,19084.571753294666,14378.822869689124,23266.096916993567
2022-09-06,18901.240437541903,14502.10611534028,23045.702552016446
2022-09-07,18802.512133345575,14640.322677603397,23127.979614199056
2022-09-08,18495.382563336694,14265.028951934743,22777.410247009462
2022-09-09,18331.1815599248,13919.133910015325,22945.283390396857
2022-09-10,18167.30517410176,14301.96345028781,22611.979747648045
2022-09-11,18001.888027807086,13666.620825200891,22267.067078289812
2022-09-12,17843.142103693215,13446.923483241853,21698.099842914737
2022-09-13,17696.8407846448,13310.487713883069,22216.42970231551
2022-09-14,17633.45170639511,13147.548327422648,21796.590624352048
2022-09-15,17359.68287222945,13178.281488704462,21488.385808535015
2022-09-16,17226.799552396784,12975.454273928,21436.922157903282
2022-09-17,17092.359533928746,12664.451768748846,21325.66494493598
2022-09-18,16954.880552831775,12707.793269355914,21491.36708645219
2022-09-19,16823.16616107639,12894.344809414655,21569.361897693067
2022-09-20,16703.769136056355,12481.107421984441,21081.141944828756
2022-09-21,16668.096545676442,12578.243758368513,20736.482868373507
2022-09-22,16423.92170493227,11868.987528718328,21052.230342420295
2022-09-23,16323.661548877153,12087.003639569946,20420.624262551937
2022-09-24,16226.068176777433,12146.321086616888,20748.42990258663
2022-09-25,16130.849740611562,11649.316716222564,20229.207885851185
2022-09-26,16047.948383701842,11783.401514163406,20238.792318377902
2022-09-27,15984.955858893629,11681.71495914273,20648.624898158807
2022-09-28,16014.172483026592,11887.36771997089,20273.701796893136
2022-09-29,15844.07618132225,11642.238735357838,19885.82979659218
2022-09-30,15827.561590949199,11518.10789336241,20364.83839364736
2022-10-01,15823.599303808129,11633.754661371753,20001.36696812266
2022-10-02,15831.831585032996,11342.761814007608,20066.280599067788
2022-10-03,15861.833236259119,11624.347038876527,19927.47331063247
2022-10-04,15920.518963642684,11400.168661471578,20224.032703000146
2022-10-05,16079.203379493121,11589.851729613009,20389.486833197137
2022-10-06,16045.080586534914,11937.026920683962,20309.419166195144
2022-10-07,16169.483222768135,11718.574881792367,20285.487541092323
2022-10-08,16309.570667660571,12149.561562525896,20715.051088430126
2022-10-09,16462.96208622283,12138.746089661428,20705.600881554135
2022-10-10,16637.042055525173,12200.208426918804,21306.813208791158
2022-10-11,16836.418968846385,12381.879629784813,20998.889606799978
2022-10-12,17130.040973138748,12773.736011597945,21452.641897002875
2022-10-13,17222.73484577129,13118.394177892085,21405.997901085535
2022-10-14,17463.526019844765,13071.84675943643,21873.54632084159
2022-10-15,17707.38771289959,13239.499239229457,22038.429408612825
2022-10-16,17949.93306392876,13783.337597716223,22455.820646379245
2022-10-17,18196.776278500118,14123.8837837933,22440.455114516702
2022-10-18,18451.041312059217,14207.092029841577,22954.399405798176
2022-10-19,18780.521312173612,14017.267585288164,23032.964037897167
2022-10-20,18889.252868551615,14601.954981443369,23054.354186812245
2022-10-21,19125.86214330289,14882.124632477286,23482.434202092045
2022-10-22,19345.329956290952,15138.198464535575,23514.43039738894
2022-10-23,19543.68913652564,15237.041055173002,23636.40526858697
2022-10-24,19727.379852422462,15545.37239980058,23979.404150433358
2022-10-25,19900.741482644058,15495.177454747281,24098.730099967855
2022-10-26,20133.144603520428,15579.837980594657,24220.857132605302
2022-10-27,20130.52780659876,15757.93094326464,24624.40012696955
2022-10-28,20243.697388422803,16269.55162817419,24632.954860962775
2022-10-29,20330.03822456781,16039.119216624951,24586.141567298557
2022-10-30,20388.15061681016,16182.84535364923,24780.13740524053
2022-10-31,20427.14050129476,16413.11653476812,24986.481205162574
2022-11-01,20454.043404538425,16327.218121454021,24663.19692504512
2022-11-02,20540.88764363301,16314.375827145343,24847.79471910985
2022-11-03,20396.163450928292,16283.229524774913,24929.356575859652
2022-11-04,20373.05800888148,15545.87054313034,24619.143421743633
2022-11-05,20331.106581554144,16165.967754587933,24698.68982628577
2022-11-06,20270.77627385987,15557.627750685595,24686.77037180239
2022-11-07,20202.711365958497,15984.01816061417,24437.669757945976
2022-11-08,20135.12193838857,15982.110980758922,24512.2990718778
2022-11-09,20140.822340926334,15934.12517634703,24534.810308813197
2022-11-10,19928.686936290498,15537.190711851274,24196.781762656276
2022-11-11,19851.883524572873,15720.679603128645,24080.665714989424
2022-11-12,19769.53470920668,15645.653043268332,23837.650148205383
2022-11-13,19681.323458928393,15466.601341860136,24237.80194817369
2022-11-14,19596.77119081598,15327.712538702011,24089.983426599218
